model,fold,metric,score
Logistic Regression,1,Accuracy,0.853
Logistic Regression,1,F1,0.845
Logistic Regression,1,ROC AUC,0.891
Logistic Regression,2,Accuracy,0.872
Logistic Regression,2,F1,0.823
Logistic Regression,2,ROC AUC,0.889
Logistic Regression,3,Accuracy,0.858
Logistic Regression,3,F1,0.817
Logistic Regression,3,ROC AUC,0.9
Logistic Regression,4,Accuracy,0.87
Logistic Regression,4,F1,0.839
Logistic Regression,4,ROC AUC,0.913
Logistic Regression,5,Accuracy,0.882
Logistic Regression,5,F1,0.824
Logistic Regression,5,ROC AUC,0.896
Random Forest,1,Accuracy,0.901
Random Forest,1,F1,0.89
Random Forest,1,ROC AUC,0.931
Random Forest,2,Accuracy,0.934
Random Forest,2,F1,0.895
Random Forest,2,ROC AUC,0.937
Random Forest,3,Accuracy,0.928
Random Forest,3,F1,0.857
Random Forest,3,ROC AUC,0.91
Random Forest,4,Accuracy,0.922
Random Forest,4,F1,0.891
Random Forest,4,ROC AUC,0.944
Random Forest,5,Accuracy,0.89
Random Forest,5,F1,0.89
Random Forest,5,ROC AUC,0.97
Support Vector Machine,1,Accuracy,0.902
Support Vector Machine,1,F1,0.873
Support Vector Machine,1,ROC AUC,0.913
Support Vector Machine,2,Accuracy,0.884
Support Vector Machine,2,F1,0.838
Support Vector Machine,2,ROC AUC,0.924
Support Vector Machine,3,Accuracy,0.903
Support Vector Machine,3,F1,0.846
Support Vector Machine,3,ROC AUC,0.91
Support Vector Machine,4,Accuracy,0.873
Support Vector Machine,4,F1,0.856
Support Vector Machine,4,ROC AUC,0.921
Support Vector Machine,5,Accuracy,0.859
Support Vector Machine,5,F1,0.879
Support Vector Machine,5,ROC AUC,0.931
