gene,log2_fc,p_value,adj_p_value,mean_expression,status
Gene_001,-1.149315357502014,0.006672109554823716,7.950841386601674e-06,8.93,Down
Gene_002,0.6214509300672051,0.025955712609046572,3.117484340112454e-05,6.63,Neutral
Gene_003,0.17803217008820654,0.2346942218051977,3.3817751185968746e-05,5.98,Neutral
Gene_004,0.8631066925847103,0.009087404607250901,4.962071639266425e-05,7.92,Neutral
Gene_005,-0.5340658079206678,0.044963619244564906,5.7753671311471534e-05,8.12,Neutral
Gene_006,0.1981746138458928,0.15547368888976715,6.537416993088919e-05,7.03,Neutral
Gene_007,0.7819879924591709,0.01856777512580024,7.279923490248507e-05,9.16,Neutral
Gene_008,-0.386683174650298,0.11876278988461673,8.895888371542045e-05,6.12,Neutral
Gene_009,0.5709690469467643,0.04576361365776757,0.00010165596654001523,7.43,Neutral
Gene_010,-0.8274074263333141,0.01168112419629295,0.00019732664149578046,7.18,Neutral
Gene_011,-0.4538173082063397,0.019341504343866636,0.00020601967092937878,7.93,Neutral
Gene_012,-0.47717236749791136,0.01633661108408278,0.0003233303931826522,8.39,Neutral
Gene_013,-1.4947995569862995,0.00426286600093958,0.0004674701667919901,6.59,Down
Gene_014,0.6087156009819773,0.04052164834895406,0.0004862071086860405,9.01,Neutral
Gene_015,-0.5867529252534048,0.01793227194885631,0.0005110964208715513,8.09,Neutral
Gene_016,0.015617648409609287,0.359985313532613,0.0005445424115904968,5.35,Neutral
Gene_017,0.6009333236323862,0.01537427513701691,0.0006214095372403861,5.26,Neutral
Gene_018,0.5581639700374301,0.05013939466445249,0.0007624083034529226,7.98,Neutral
Gene_019,0.8317313862159827,0.08014044795873178,0.0008239411206484752,7.69,Neutral
Gene_020,-0.12310685563677952,0.5798983998125382,0.0008293037722866906,7.86,Neutral
Gene_021,-0.5291228900551922,0.018265553184874963,0.0008870050582750218,7.96,Neutral
Gene_022,-0.09964776363299882,0.6489133487628664,0.0008930440908639813,8.32,Neutral
Gene_023,-2.1091680424475374,0.0017305005257056828,0.0009004093247193555,9.33,Down
Gene_024,-1.808890590528859,0.003196811853021697,0.0010561731292472265,6.44,Down
Gene_025,-1.6533745154430028,0.007918793590821383,0.0010664574864392038,6.36,Down
Gene_026,-1.2465585345018522,0.01469277351798554,0.0011008823890113224,6.47,Down
Gene_027,0.49971778340429573,0.026877465827201002,0.0011458042027011931,8.4,Neutral
Gene_028,-1.131848819200076,0.05035701212802995,0.0011812762079860882,9.74,Down
Gene_029,-0.4727031925492371,0.022152401131625137,0.00122062687045459,7.4,Neutral
Gene_030,1.6240353722325818,0.0010129161801069107,0.001278055759990499,4.5,Up
Gene_031,-0.4453299638267824,0.09834102300596172,0.00133489819441909,5.61,Neutral
Gene_032,0.9218944605838582,0.056348602306814356,0.0013654751813028999,6.83,Neutral
Gene_033,-1.1670221000123462,0.007380753592184715,0.0013766894495093984,7.22,Down
Gene_034,-0.2567969473345375,0.353083594888846,0.0014499422689838433,7.43,Neutral
Gene_035,-1.1875275686382265,0.014608962262200079,0.0014578587746450395,8.05,Down
Gene_036,-0.4237913448757031,0.016703173609987847,0.0014914361770224953,7.56,Neutral
Gene_037,1.0503851718217443,0.0029180181724386737,0.0015330772905698129,9.47,Up
Gene_038,-2.159150528990436,0.00032791417795234975,0.0016126669392275955,7.05,Down
Gene_039,0.5430295544323217,0.09235857231191087,0.001721907237414491,6.79,Neutral
Gene_040,0.2971695029153474,0.05403325109090749,0.0017528849139035994,8.67,Neutral
Gene_041,-0.742687444620993,0.016053069263388953,0.0018234442823602001,5.85,Neutral
Gene_042,-1.8075723179855683,0.002712853853628885,0.0018261994372877437,8.55,Down
Gene_043,0.09016188464233689,0.10709987807202521,0.0018308873384449214,8.14,Neutral
Gene_044,-0.6618658863297531,0.17302458984000735,0.001847741503117495,7.79,Neutral
Gene_045,0.29084526419337997,0.24452014477540318,0.0018853147652399388,10.22,Neutral
Gene_046,0.027315181904303598,0.18099335190291005,0.0019240013299105156,7.13,Neutral
Gene_047,2.0022236141511445,0.0032905996509755083,0.0019654780072160634,10.88,Up
Gene_048,-0.29919453434128035,0.2737513087442027,0.001971853934978978,7.68,Neutral
Gene_049,-1.2793718657773312,0.0026435402998063553,0.0019806484255018627,6.21,Down
Gene_050,0.2240945436953952,0.025508570583309933,0.0020576801135880375,8.1,Neutral
Gene_051,0.27499585496470647,0.08632691620742708,0.002141982643606301,6.49,Neutral
Gene_052,1.6989844690505458,0.000880291742485857,0.0023501641904980484,6.95,Up
Gene_053,1.0438890573932231,0.00301572461231233,0.0024021565840742004,8.56,Up
Gene_054,0.44608882393688665,0.2015717030341256,0.0025783433493045144,8.78,Neutral
Gene_055,1.8291286140244523,0.0021244109610801367,0.0026184054131260593,7.13,Up
Gene_056,-1.4859538179035636,0.006168455478868187,0.0026193497284615233,9.38,Down
Gene_057,-0.7996894159371847,0.09739832686946338,0.002806838521006249,9.62,Neutral
Gene_058,-1.1582199267569062,0.004663439799779097,0.0030338470633051,10.01,Down
Gene_059,-0.48726225394470996,0.07278303217223996,0.0030929551881005734,8.74,Neutral
Gene_060,-1.720857684445386,0.0026359015422562923,0.0030987603122702295,9.91,Down
Gene_061,0.7939386835180053,0.07931402900614207,0.0031286249893522178,5.37,Neutral
Gene_062,-0.2777783713734667,0.2761765564417554,0.003142774466701547,7.55,Neutral
Gene_063,-1.8385078681283225,0.00049533128418996,0.0031449605345394284,6.79,Down
Gene_064,-1.269473851509427,0.03206669996645267,0.00332399414754844,8.17,Down
Gene_065,0.3918923093127441,0.17457180478520526,0.0034259782581909626,7.2,Neutral
Gene_066,1.0476582098679763,0.02638033438061951,0.003447620081530483,7.77,Up
Gene_067,2.495913614614733,0.00032921756620869064,0.003451728188972102,10.64,Up
Gene_068,3.642328082509162,1.2375869933422462e-05,0.0038180253121297397,7.76,Up
Gene_069,0.5180117915949954,0.05580480050157718,0.003956967376481644,8.58,Neutral
Gene_070,-1.2369226500398303,0.030855547165455095,0.004125772974584042,7.67,Down
Gene_071,-2.6650578509141365,0.0004576559445015513,0.004230091398000505,8.11,Down
Gene_072,0.3346393279297948,0.030135300717777477,0.0042413565960694385,8.01,Neutral
Gene_073,-1.0161763691379075,0.009741742213981696,0.004250404881915959,8.63,Down
Gene_074,-0.5191965752246066,0.03420935507880703,0.004295384588749713,9.63,Neutral
Gene_075,-0.76512099882476,0.01690157014060592,0.004313220300076721,10.31,Neutral
Gene_076,-0.17598860802048158,0.05855271612031917,0.004315079695398348,8.43,Neutral
Gene_077,1.3324752884845545,0.026102238213317128,0.004326175591649892,8.83,Up
Gene_078,0.19631070930668076,0.19124001721869846,0.004707392682844045,6.39,Neutral
Gene_079,-0.19829354629836038,0.11092634922502995,0.004892184720982951,7.88,Neutral
